name,address,phone
"Service Point A","123 Main St, Cityville","+1 (123) 456-7890"
"Service Point B","456 Elm St, Townsville","+1 (123) 456-7891"
"Service Point C","789 Oak St, Villagetown","+1 (123) 456-7892"
"Service Point D","321 Pine St, Metropolis","+1 (123) 456-7893"
"Service Point E","654 Maple St, Capital City","+1 (123) 456-7894"
"Service Point F","987 Cedar St, Uptown","+1 (123) 456-7895"
"Service Point G","135 Birch St, Downtown","+1 (123) 456-7896"
"Service Point H","246 Spruce St, Suburbia","+1 (123) 456-7897"
"Service Point I","369 Walnut St, Lakeside","+1 (123) 456-7898"
"Service Point J","159 Ash St, Hilltop","+1 (123) 456-7899"
